127.0.0.1 - - [21/Apr/2015:04:49:35 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:49:57 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:50:05 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:51:16 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:52:59 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:53:03 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:53:20 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 500 4395
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:54:31 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:54:31 +0300] "GET /ArkhamAsylumSystem/rest/medical_record_service/view_personel_info/ HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [21/Apr/2015:04:54:31 +0300] "GET /ArkhamAsylumSystem/rest/medical_record_service/view_patient_requests/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:22 +0300] "POST /ArkhamAsylumSystem/rest/medical_record_service/log_in/ HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:22 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Medicine HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:23 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/NonUpdatedMedicalRecord HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:23 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Treatmentmeds/ HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:23 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/UpdatedMedicalRecord HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:33 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Possible_treatmentmeds/1 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:36 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Possible_treatmentmeds/1 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:39:41 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Possible_treatmentmeds/1 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:01 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/NonUpdatedMedicalRecord HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:01 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Medicine HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:01 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Treatmentmeds/ HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:01 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/UpdatedMedicalRecord HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:05 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Possible_treatmentmeds/1 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:17 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Medicine HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:17 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/NonUpdatedMedicalRecord HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:17 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Treatmentmeds/ HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:17 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/UpdatedMedicalRecord HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [21/Apr/2015:05:41:20 +0300] "GET /ArkhamAsylumSystem/rest/clinicalstaff_service/get/Possible_treatmentmeds/1 HTTP/1.1" 200 223
